工程採購數量計算表,,,,,,,,,,,,,,,,,,,,,,,,
物流中心,,,,,,,,,,,,,,,,,,,,,,,,
輕隔間數量計算表 (全棟合併),,,,,,,,,,,,,,,,,,,,,,,,
樓別名稱,,輕隔間牆,,,,,,門開口、窗開口,,,,,,,輕隔間牆面積,,,,,,,,,
編號,空間名稱,空間周長,輕隔間牆類型,牆長,牆高,面積,小計,名稱,數量,長,高,面積,小計,總計,12cm輕隔間,79mm 內部隔板 (1-hr),135mm 內部隔板 (2-hr),138mm 內部隔板 (1-hr),玻璃隔間1CM,廁所隔牆2.5cm,廁所隔牆3cm,輕隔間 (1hr) 79mm,輕隔間 (1hr) 138mm,輕隔間 (2hr) 135mm
F679,A區走廊,,,,,,,,,,,,,,,,,,,,,,,
F680,配膳室,,,,,,,,,,,,,,,,,,,,,,,
F681,A區梯廳,,,,,,,,,,,,,,,,,,,,,,,
F682,女廁,,廁所隔牆3cm,=1.42+2.27+1.04,2.15,=E309*F309,=G309,衛生間門60*220,3,0.60,2.20,=J309*K309*L309,=M309,=H309-N309,,,,,,,=O309,,,
F683,男廁,,廁所隔牆3cm,=1.33+1.07,2.19,=E310*F310,=G310,衛生間門60*220,1,0.60,2.20,=J310*K310*L310,=M310,=H310-N310,,,,,,,=O310,,,
F684,A安全梯(無障礙樓梯),,,,,,,,,,,,,,,,,,,,,,,
F685,A無障礙電梯,,,,,,,,,,,,,,,,,,,,,,,
F686,復健區,,,,,,,,,,,,,,,,,,,,,,,
F688,宗教閱覽室,,,,,,,,,,,,,,,,,,,,,,,
F690,陽台,,,,,,,,,,,,,,,,,,,,,,,
F1029,員工休息室,,,,,,,,,,,,,,,,,,,,,,,
F1030,員工休息室,,,,,,,,,,,,,,,,,,,,,,,
F1031,洗衣/烘衣房,,,,,,,,,,,,,,,,,,,,,,,
F1032,陽台,,,,,,,,,,,,,,,,,,,,,,,
F1033,女浴廁,,廁所隔牆3cm,=2.46+1.37+1.37+2.34,2.12,=E320*F320,=G320,衛生間門60*220,4,0.60,2.20,=J320*K320*L320,=M320,=H320-N320,,,,,,,=O320,,,
F1034,男浴廁,,廁所隔牆3cm,=1.07+1.14,2.10,=E321*F321,=G321,衛生間門60*220,2,0.60,2.20,=J321*K321*L321,=M321,=H321-N321,,,,,,,=O321,,,
F1035,B安全梯(無障礙樓梯),,,,,,,,,,,,,,,,,,,,,,,
F1036,B無障礙電梯,,,,,,,,,,,,,,,,,,,,,,,
F1037,機械室,,,,,,,,,,,,,,,,,,,,,,,
F1038,A區梯廳,,,,,,,,,,,,,,,,,,,,,,,
F1039,A安全梯(無障礙樓梯),,,,,,,,,,,,,,,,,,,,,,,
F1040,A無障礙電梯,,,,,,,,,,,,,,,,,,,,,,,
F529,員工休息室,,,,,,,,,,,,,,,,,,,,,,,
F530,員工休息室,,,,,,,,,,,,,,,,,,,,,,,
F539,走廊,,,,,,,,,,,,,,,,,,,,,,,
F540,教具室,,,,,,,,,,,,,,,,,,,,,,,
F541,B梯廳,,,,,,,,,,,,,,,,,,,,,,,
F543,露台,,,,,,,,,,,,,,,,,,,,,,,
